	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
TP53	0.639111241	1.069317454	2.496653979	0	1.530224953	0.890946344	1.038892772	4.011920622
4-Oct	0	0	0	0	0	0	0	0
1-Dec	0	0	0	0	0	0	0	0
1-Mar	0	0	0	0	0	0	0	0
2-Mar	0	0	0.832217993	0.892386063	0	0	0	0
2-Mar	547.0792224	576.3621076	493.5052698	514.014372	549.3507583	505.1665772	541.2631342	556.3196596
CDR1	0	0	0	0	0	0	0	0
CLRN1	0	0	0.832217993	0	0	0	0	0
DMRTB1	0	0	0	0	0	0	0	0
DMRTC1	0	0	0	0	0	0	0	0
DMRTC1B	0	0	0	0	0	0	0	0
DMRTC2	0.639111241	0	0	0	0	0	0	0
DMTF1	2697.688549	2765.254935	2296.92166	2247.028106	2425.406551	2472.376105	2476.720368	2500.763854
EGF	40.90311943	34.21815852	67.40965742	87.45383413	64.26944805	60.58435141	44.6723892	53.49227496
EGR1	4372.799112	3930.81096	1197.561692	1134.222686	1095.641067	2433.174466	1997.790801	2039.392983
EHD1	1020.021541	1015.851581	730.6873977	748.7119065	576.8948075	932.8208225	930.8479237	846.5152512
GAB1	756.0685982	790.2255983	820.5669409	762.0976974	912.0140723	779.5780512	780.2084718	759.5903044
KIF19	7.669334893	7.485222176	19.14101384	13.38579094	12.24179963	8.018517099	6.233356632	10.69845499
MZB1	0.639111241	0	0	1.784772125	0	0.890946344	2.077785544	2.674613748
N4BP3	136.7698056	162.536253	224.6988581	229.3432181	220.3523933	207.5904982	193.2340556	192.5721899
N6AMT2	119.5138021	110.1396977	85.71845326	96.37769476	90.28327226	134.532898	130.9004893	115.0083912
NAA11	1.278222482	2.138634907	1.664435986	5.354316375	1.530224953	1.781892689	3.116678316	4.011920622
TBX2	783.5503816	744.2449478	733.1840517	778.1606465	685.5407792	732.357895	779.169579	814.4198863
TUBB8	0.639111241	0	1.664435986	0	0	0	1.038892772	0
ZNF227	1179.799351	1056.485644	1173.42737	1065.508959	1230.300863	908.7652712	931.8868165	881.28523
